melancholy ability	accommodate	accompany
accumulate	accuracy	acquisition
activity	administer	advertisement
Agriculture	allegation	allocation
alternative	American	analysis
anticipate	anxiety	application
appreciate	architecture	associate
authority	autonomy	calculation
capacity	capitalism	casualty
category	celebration	ceremony
certificate	championship	characterise
characterize	coalition	combination
commissioner	communicate	community
comparison	compensation	competition
competitor	complexity	composition
concentration	conservation	Conservative
constituent	Constitution	consultation
contribution	controversy	conversation
corporation	correlation	correspondent
criterion	curriculum	declaration
definition	delegation	delivery
democracy	demonstration	developer
development	diagnosis	dictionary
difficulty	directory	disadvantage
disappointment	discovery	distribution
economy	Education	efficiency
eliminate	emergency	engineering
entertainment	enthusiasm	environment
equivalent	establishment	evaluate
evolution	execution	executive
exhibition	expectation	expenditure
experience	experiment	explanation
facilitate	facility	federation
generation	hierarchy	historian
hypothesis	identify	identity
illustration	implication	incorporate
indication	indicator	information
ingredient	initiate	innovation
installation	institution	integration
intelligence	interaction	Interior
intervention	introduction	investigate
invitation	isolation	jurisdiction
legislation	liberation	limitation
literature	machinery	majority
manipulate	manufacture	material
minority	Monopoly	mortality
motivation	necessity	negotiate
obligation	observation	occupation
operation	operator	Opposition
originate	participant	participate
phenomenon	philosophy	politician
polytechnic	population	practitioner
preparation	presentation	priority
professional	proposition	prosecution
psychology	publication	radiation
reality	recognition	recovery
redundancy	registration	regulation
relationship	reputation	resignation
resolution	Restoration	revolution
satisfaction	secretary	security
separation	significance	situation
society	solicitor	speculation
stability	technology	television
temperature	territory	transformation
uncertainty	understanding	variable
variation	variety	vegetable
